RaceID|Name|Gender|Age|Time1|Time2|Shoes
NY18|Jonny Mellor|M||2:16:12|2:16:05|New Balance 1080
NY18|Mizael “Miz” Carrera|M|25-34|2:19:29|2:19:32|
NY18|Andrew Davies 🏴󠁧󠁢󠁷󠁬󠁳󠁿|M|35-44|2:20:30|2:20:30|New Balance 880
NY18|Florent Caelen|M|25-34|2:22:53|2:22:56|New Balance 1400v6 NYC Marathon
NY18|Derrick Hamel|M|35-44|2:25:50|2:25:50|New Balance RC1400V5
NY18|Dan Glaz|M|35-44|2:26:14|2:26:14|
NY18|Aliaksandr Leuchanka|M|25-34|2:26:17|2:26:17|
NY18|Nick McCormick|M|35-44|2:27:35|2:27:35|New Balance Fuel Cell Impulse
NY18|Matthew Beamer|M|25-34|2:28:12|2:28:12|
NY18|peter lighting|M|35-44|2:28:38|2:28:38|
NY18|Sean Fitzpatrick|M|25-34|2:28:45|2:28:45|
NY18|Massi Milani|M|45-54|2:28:55|2:29:02|Nike Vaporfly 4% Flyknit
NY18|Charlie Sandison|M|25-34|2:29:02|2:29:01|Nike Vaporfly 4% Flynits
NY18|Lisa Weightman|F||2:29:12|2:29:12|
NY18|Alex Price|M|25-34|2:29:18|2:29:20|Nike Pegasus Turbo
NY18|Lawrence Avery|M|35-44|2:29:47|2:29:52|
NY18|André Borgen|M|25-34|2:29:48|2:29:48|Nike Vaporfly Obsidian NYC
NY18|Conor Cashin|M|25-34|2:29:55|2:29:55|
NY18|Yipeng Li|M|35-44|2:30:10|2:30:10|
NY18|Stu Haynes|M||2:30:18|2:30:28|
NY18|Martin Kjäll-Ohlsson|M||2:30:33|2:30:27|Saucony Type A
NY18|Joussemet Jérôme|||2:31:08|2:31:08|
NY18|Robert Heczko|M||2:31:15|2:31:17|Salming takove ty na zavody
NY18|jonathan tipper|M|35-44|2:31:22|2:31:30|Nike Winflo 4
NY18|Jordan O'Donoghue|M||2:31:23|2:31:23|Nike VaporFly 4% Orange
NY18|Tim Rossi|M|25-34|2:31:23|2:31:15|
NY18|Steven McElligott|M||2:31:40|2:31:43|
NY18|Grzegorz Gronostaj|M|45-54|2:32:02|2:32:02|
NY18|Sjef de Kimpe|M|25-34|2:32:03|2:32:08|On Cloudflash
NY18|Samantha Bluske-Palmer|F|25-34|2:32:04|2:32:07|ASICS GT 2000
NY18|Damien Bruneau|M|35-44|2:32:55|2:32:55|
NY18|Félix Cancre|M|25-34|2:33:06|2:33:40|Saucony kinvara 6
NY18|Seth Woodring|M|20-24|2:33:49|2:33:49|adidas adios boost
NY18|Tim Jeffreys|M||2:33:50|2:33:50|
NY18|Kieran Little|M|25-34|2:33:53|2:33:59|
NY18|Matt Lindgren|M|25-34|2:34:39|2:34:39|
NY18|John P|M|35-44|2:34:47|2:34:49|Nike Flyknit 4%
NY18|Scott Faubs|M||2:34:50|2:34:50|HOKA ONE ONE Clifton
NY18|Calum Neff|M|35-44|2:34:54|2:34:58|Altra Escalante Racer
NY18|Hugh Parker|M|25-34|2:35:13|2:35:08|
NY18|David Roeske|M|35-44|2:35:16|2:35:16|Nike VaporFly 4%
NY18|Billy Warren|M|25-34|2:35:33|2:35:33|New Balance Zante v4
NY18|Jonathan Rosenbrier|M|35-44|2:35:37|2:35:39|Nike zoom vaporfly 4%
NY18|Chris Gabrielson|M|25-34|2:35:47|2:35:53|
NY18|Ole Kristian Heggheim|M|45-54|2:35:52|2:35:52|
NY18|Connor Hesselbirg|M|20-24|2:36:08|2:36:03|HOKA ONE ONE Clifton 5
NY18|Jarrod McMullen|M|35-44|2:36:25|2:36:25|Nike Zoomfly Flyknit.
NY18|Travis Haslam|M||2:36:33|2:36:31|Nike Zoom Fly
NY18|Steve Bione|M|25-34|2:36:34|2:36:34|
NY18|Jamie Stroffolino|M|25-34|2:36:35|2:36:41|adidas adizero aktiv
NY18|Jeremy Arthur|M||2:36:36|2:36:38|Nike Vaporfly
NY18|Henry Janssen|M|25-34|2:36:41|2:36:44|
NY18|Tyler Hamilton|M||2:37:09|2:37:09|
NY18|Nikita Golovitsyn|M|35-44|2:37:12|2:37:14|Nike Vapor 4%
NY18|Abi Agh 🇺🇸|M|25-34|2:37:14|2:37:14|
NY18|Brennan Bonner|M|35-44|2:37:16|2:37:18|adidas Boston
NY18|Ryan Fitzsimons|M|25-34|2:37:23|2:37:23|
NY18|Benjamin Franke|M|25-34|2:37:32|2:37:32|Nike Vaporfly 4% Flyknit
NY18|Evan Fallor|M||2:37:35|2:37:37|
NY18|Adelar Mário Maurina Junior|M|25-34|2:37:50|2:37:50|
NY18|Stuart Farmer|M|35-44|2:37:51|2:37:51|adidas Adizero Takumi Sen 3
NY18|Craig Taylor|M|25-34|2:38:05|2:38:02|Nike Vaporfly 4% FK
